GOOGLE.COM

                         MX     aspmx.l.google.com
25.client-channel        AAAA   2607:f8b0:400d:c0f::bd
273pdr.feedproxy.ghs     A      172.217.10.147
2h3ytf.feedproxy.ghs     AAAA   2607:f8b0:4006:815::2013
2wxv00.feedproxy.ghs     A      172.217.6.83
3.docs                   CNAME  browserchannel-sites.l.google.com
30qbc5.feedproxy.ghs     AAAA   2607:f8b0:4006:802::2013
435bav.feedproxy.ghs     A      172.217.14.115
50j7f6.feedproxy.ghs     AAAA   2607:f8b0:4006:81a::2013
548kwo.feedproxy.ghs     AAAA   2607:f8b0:4006:819::2013
58au9j.feedproxy.ghs     AAAA   2607:f8b0:4006:803::2013
5d89pi.feedproxy.ghs     A      172.217.6.211
5d89pi.feedproxy.ghs     A      172.217.11.179
5ly5vo.feedproxy.ghs     A      172.217.0.51
6.client-channel         A      173.194.207.189
6a5nqy.feedproxy.ghs     A      172.217.6.51
6gkgbq.feedproxy.ghs     A      172.217.11.19
6xpfyd.feedproxy.ghs     A      216.58.194.211
719sp3.feedproxy.ghs     A      216.58.194.179
7g7eg7.feedproxy.ghs     A      172.217.12.147
7wocpu.feedproxy.ghs     A      216.58.195.83
7wocpu.feedproxy.ghs     AAAA   2607:f8b0:4005:802::2013
87rxuf.feedproxy.ghs     AAAA   2607:f8b0:4006:810::2013
96lzco.feedproxy.ghs     AAAA   2607:f8b0:4006:818::2013
a0vetj.feedproxy.ghs     AAAA   2607:f8b0:400e:c08::79
admanager.l              A      172.217.12.174
admanager.l              AAAA   2607:f8b0:4006:81a::200e
admin                    A      172.217.10.78
admin                    AAAA   2607:f8b0:4005:80a::200e
admob                    AAAA   2607:f8b0:4005:805::200e
adwords                  A      74.125.137.101
adwords                  A      74.125.137.102
adwords                  A      74.125.137.113
adwords                  AAAA   2607:f8b0:400d:c0f::64
adwords                  AAAA   2607:f8b0:400d:c0f::8b
adwords                  AAAA   2607:f8b0:400e:c08::71
adwords                  AAAA   2607:f8b0:4023:c03::71
adwords                  AAAA   2607:f8b0:4023:c03::8a
adwords                  AAAA   2607:f8b0:4023:c03::8b
adwords.l                AAAA   2607:f8b0:400d:c0b::64
adwords.l                AAAA   2607:f8b0:400e:c09::71
afd.ghs                  A      172.217.10.51
ai                       A      172.217.0.46
ajfaw1.feedproxy.ghs     A      172.217.10.243
akfptv.feedproxy.ghs     A      172.217.12.179
alt1                     A      74.125.135.139
alt1                     A      74.125.135.113
alt1.aspmx.l             AAAA   2607:f8b0:4001:c1e::1b
alt2-safebrowsing        A      172.217.30.238
alt2.ghs.l               A      172.217.14.83
alt2.ghs.l               AAAA   2607:f8b0:4007:803::2013
ampcid                   A      74.125.195.138
analyticssuitefrontend-pa.clients6  A      172.217.10.74
androidpay.developers    A      172.217.12.174
appsassistant-pa.clients6  A      172.217.12.202
appspot-preview.l        AAAA   2607:f8b0:4005:80a::2014
appswaldo-pa.clients6    AAAA   2607:f8b0:4005:807::200a
archive                  A      172.217.164.110
area120                  AAAA   2607:f8b0:4005:802::200e
asia2                    A      216.58.194.196
asia2                    AAAA   2607:f8b0:4005:805::2004
aspmx.l                  A      64.233.178.27
aspmx.l                  A      74.125.127.26
aspmx.l                  AAAA   2607:f8b0:4003:c09::1b
assistant                A      216.58.195.78
b.googlemail.l           A      172.217.10.135
bartmp.l                 A      173.194.166.199
bg62w9.feedproxy.ghs     A      172.217.164.115
bhx28f.feedproxy.ghs     A      216.58.195.83
bigqueryconnection.clients6  A      172.217.10.10
bitterwalletgmail.feedproxy.ghs  A      172.217.6.51
blobcomments-pa.clients6  A      172.217.12.202
bloggerphotos.l          A      172.217.6.46
books-wide.l             AAAA   2607:f8b0:4003:c08::8a
bpui0                    AAAA   2607:f8b0:400d:c0f::5c
buorlk.feedproxy.ghs     AAAA   2607:f8b0:4005:804::2013
business                 AAAA   2607:f8b0:4006:814::200e
cadenheadgmail.feedproxy.ghs  A      172.217.12.179
calendar                 AAAA   2607:f8b0:4006:814::200e
calendar-pa.clients6     A      172.217.164.106
calendarsuggest.clients6  AAAA   2607:f8b0:4006:813::200a
cert-test.sandbox        A      172.217.197.90
classroom                A      216.58.195.78
classroom                AAAA   2607:f8b0:4006:802::200e
classroom                AAAA   2607:f8b0:4006:812::200e
clients-cctld.l          A      172.217.12.163
clients.l                A      74.125.195.101
clients.l                A      74.125.195.100
cloud                    A      74.125.28.138
clubjugglergmail.feedproxy.ghs  AAAA   2607:f8b0:4005:80a::2013
code.l                   AAAA   2607:f8b0:4006:815::200e
console.actions          CNAME  www3.l.google.com
console.cloud            CNAME  www3.l.google.com
console.developers       A      216.239.32.27
cpd5hi.feedproxy.ghs     AAAA   2607:f8b0:4005:802::2013
critique.corp            CNAME  uberproxy.l.google.com
crl.ext                  A      216.239.44.89
crowdsource              AAAA   2607:f8b0:4005:809::200e
cse                      A      172.217.10.46
d5h.spreadsheets         CNAME  ssdata.l.google.com
dcn.spreadsheets         CNAME  ssdata.l.google.com
ddm.l                    A      172.217.6.46
devmavens.feedproxy.ghs  AAAA   2607:f8b0:4006:811::2013
dg.video                 A      74.125.142.176
dl-ssl.l                 AAAA   2607:f8b0:400e:c07::be
dl-ssl.l                 AAAA   2607:f8b0:400d:c0f::5b
docs                     AAAA   2607:f8b0:4005:807::200e
drive                    A      172.217.6.46
drive                    A      216.58.194.206
drive                    AAAA   2607:f8b0:4006:803::200e
duo                      A      172.217.10.14
dynamicmail-pa.clients6  AAAA   2607:f8b0:4005:807::200a
earthbuilder             CNAME  www3.l.google.com
ebs2-ptch-app.corp       CNAME  uberproxy.l.google.com
edu                      A      172.217.0.46
eh8.spreadsheets         CNAME  ssdata.l.google.com
events                   A      216.58.195.78
express                  A      172.217.6.46
express                  A      172.217.12.206
f9bl68.feedproxy.ghs     A      172.217.12.179
fabienpotenciergmail.feedproxy.ghs  AAAA   2607:f8b0:4006:802::2013
fcmatch                  A      172.217.6.46
fd1ka2.feedproxy.ghs     AAAA   2607:f8b0:4006:81b::2013
fel.spreadsheets         CNAME  ssdata.l.google.com
ffuf9g.feedproxy.ghs     A      172.217.5.115
ffuf9g.feedproxy.ghs     A      172.217.11.83
fiji.clients             CNAME  clients.l.google.com
finsky-live.corp         CNAME  uberproxy.l.google.com
firebaserules.clients6   A      172.217.5.106
fonts                    A      172.217.6.78
fonts                    A      172.217.6.46
fonts                    AAAA   2607:f8b0:4005:80a::200e
fonts                    AAAA   2607:f8b0:4005:809::200e
foxnews.feedproxy.ghs    AAAA   2607:f8b0:4005:807::2013
fp6.spreadsheets         CNAME  ssdata.l.google.com
fpdob.feedproxy.ghs      A      172.217.10.19
friendconnect            CNAME  www3.l.google.com
fusiontables             A      216.58.195.78
gacollector.l            A      64.233.190.97
gacollector.l            A      172.217.192.97
gds                      A      172.217.6.78
gds                      AAAA   2607:f8b0:4006:813::200e
gebcn5.feedproxy.ghs     AAAA   2607:f8b0:4006:81a::2013
get                      A      172.217.5.110
get                      A      172.217.6.46
get                      A      216.58.194.174
gfe                      AAAA   2607:f8b0:4006:803::2004
gg                       A      216.58.194.206
ghs-backup.l             AAAA   2607:f8b0:4003:c13::da
